Code,Sum of Quantity Shipped,TimePeriod
ANGEL,34197,2023-04-24 00:00:00
ANGEL,56088,2023-04-28 00:00:00
ANGEL,0,2023-04-29 00:00:00
ANGEL,0,2023-04-30 00:00:00
ANGEL,45837,2023-05-01 00:00:00
ANGEL,0,2023-05-06 00:00:00
ANGEL,0,2023-05-07 00:00:00
ANGEL,113513,2023-05-08 00:00:00
ANGEL,0,2023-05-13 00:00:00
ANGEL,0,2023-05-14 00:00:00
ANGEL,65242,2023-05-15 00:00:00
ANGEL,0,2023-05-20 00:00:00
ANGEL,0,2023-05-21 00:00:00
ANGEL,0,2023-05-22 00:00:00
ANGEL,0,2023-05-28 00:00:00
ANGEL,0,2023-05-29 00:00:00
ANGEL,0,2023-06-04 00:00:00
ANGEL,0,2023-06-05 00:00:00
ANGEL,0,2023-06-11 00:00:00
ANGEL,0,2023-06-12 00:00:00
ANGEL,0,2023-06-18 00:00:00
ANGEL,0,2023-06-19 00:00:00
BACOP,21281382.85,
BACOP,2892,2022-06-20 00:00:00
BACOP,0,2022-06-21 00:00:00
BACOP,0,2022-06-23 00:00:00
BACOP,0,2022-06-24 00:00:00
BACOP,0,2022-06-25 00:00:00
BACOP,26744,2022-06-27 00:00:00
BACOP,0,2022-06-28 00:00:00
BACOP,0,2022-07-01 00:00:00
BACOP,0,2022-07-02 00:00:00
BACOP,24928,2022-07-04 00:00:00
BACOP,0,2022-07-06 00:00:00
BACOP,0,2022-07-08 00:00:00
BACOP,11256,2022-07-11 00:00:00
BACOP,15720.5,2022-07-14 00:00:00
BACOP,4654,2022-07-15 00:00:00
BACOP,0,2022-07-16 00:00:00
BACOP,51136,2022-07-18 00:00:00
BACOP,0,2022-07-23 00:00:00
BACOP,19808,2022-07-25 00:00:00
BACOP,0,2022-07-27 00:00:00
BACOP,0,2022-07-30 00:00:00
BACOP,84843,2022-08-01 00:00:00
BACOP,0,2022-08-02 00:00:00
BACOP,0,2022-08-06 00:00:00
BACOP,0,2022-08-13 00:00:00
BACOP,1458,2022-08-15 00:00:00
BACOP,0,2022-08-16 00:00:00
BACOP,0,2022-08-19 00:00:00
BACOP,0,2022-08-20 00:00:00
BACOP,248,2022-08-22 00:00:00
BACOP,0,2022-08-27 00:00:00
BACOP,23432,2022-08-29 00:00:00
BACOP,0,2022-09-02 00:00:00
BACOP,0,2022-09-04 00:00:00
