LocationId,Sum of Quantity Shipped,TimePeriod,GenusId
1,4755.0,2022-07-14 00:00:00,35
1,4229.0,2022-07-14 00:00:00,38
1,18944.5,2022-07-14 00:00:00,39
1,4328.0,2022-07-14 00:00:00,44
1,23475.5,2022-07-15 00:00:00,2
1,4654.0,2022-07-15 00:00:00,3
1,255.0,2022-07-15 00:00:00,4
1,0.0,2022-07-15 00:00:00,5
1,62593.5,2022-07-15 00:00:00,7
1,0.0,2022-07-15 00:00:00,13
1,0.0,2022-07-15 00:00:00,14
1,488.5,2022-07-15 00:00:00,15
1,23739.0,2022-07-15 00:00:00,22
1,28963.0,2022-07-15 00:00:00,27
1,1881.0,2022-07-15 00:00:00,28
1,6990.0,2022-07-15 00:00:00,30
1,593.0,2022-07-15 00:00:00,34
1,0.0,2022-07-15 00:00:00,35
1,4619.5,2022-07-15 00:00:00,38
1,18743.5,2022-07-15 00:00:00,39
1,0.0,2022-07-15 00:00:00,44
1,1808.5,2022-07-15 00:00:00,45
1,12788.0,2022-07-15 00:00:00,52
1,0.0,2022-07-16 00:00:00,2
1,0.0,2022-07-16 00:00:00,3
1,0.0,2022-07-16 00:00:00,6
1,0.0,2022-07-16 00:00:00,10
1,0.0,2022-07-16 00:00:00,13
1,0.0,2022-07-16 00:00:00,14
1,0.0,2022-07-16 00:00:00,16
1,0.0,2022-07-16 00:00:00,22
1,0.0,2022-07-16 00:00:00,27
1,0.0,2022-07-16 00:00:00,29
1,0.0,2022-07-16 00:00:00,31
1,0.0,2022-07-16 00:00:00,33
1,0.0,2022-07-16 00:00:00,35
1,0.0,2022-07-16 00:00:00,40
1,0.0,2022-07-16 00:00:00,41
1,0.0,2022-07-16 00:00:00,44
1,0.0,2022-07-16 00:00:00,45
1,0.0,2022-07-16 00:00:00,47
1,0.0,2022-07-16 00:00:00,52
1,51136.0,2022-07-18 00:00:00,3
1,28883.0,2022-07-18 00:00:00,7
1,52453.0,2022-07-18 00:00:00,13
1,1434.0,2022-07-18 00:00:00,22
1,1573.0,2022-07-18 00:00:00,27
1,920.0,2022-07-18 00:00:00,28
1,743.0,2022-07-18 00:00:00,29
1,9789.0,2022-07-18 00:00:00,35
1,37675.0,2022-07-18 00:00:00,38
1,23400.5,2022-07-18 00:00:00,39
1,60.0,2022-07-18 00:00:00,40
